,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O(aq),gH2O(aq),aH2O(aq),mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
103,0.00011687175298693565,0.2410297293924184,2.8169566996058693e-05,6.422351745588278e-08,0.7235846699324748,4.6471152680217526e-08,0.9953055098466165,1.0003887735546857,0.9956924583076779,0.0025108053038323773,1.0212123277733587,0.002564065328912358,0.027344579734108858,0.706576184435099,0.01932102881350797,0.09999957689210597,0.7256405845252367,0.07256375142826411,0.12935572900814307,0.719461435657383,0.09306645850270602,0.0017572787631621094,0.6689980521287817,0.0011756160696027255,0.0007075341934504351,1.0,0.0007075341934504351,2.0614336309728824e-05,0.717105300293693,1.4782649829743267e-05,1.3757723987798766e-16,1.0,1.3757723987798766e-16,1.0,1.0,1.0,0.02997225679092817,0.1294726649846475,-12.135373702782102,-0.9105542097339924,7.332816555056115,-0.596174615608889,0.06900539386859862,-81.27893505420461,53.813482103895026,9.274032470497563,-3.7912614397139848,378.15,8.0,0.1
104,0.00011165294468205847,0.23683575774803767,2.6443409758575046e-05,6.53400029315526e-08,0.7195951668662874,4.70183503125743e-08,0.9953079985790053,1.000393705662004,0.9956998569734838,0.0026772851123697625,1.021187562100528,0.002734010256948917,0.027040936966791673,0.7043386369002131,0.019045976683694635,0.09999928346451785,0.7222806479524233,0.07222754725553,0.12921305562129898,0.7163405995411347,0.09256055773230329,0.0019253710487014144,0.6654559601713779,0.0012812496398997729,0.0006817284952816649,1.0,0.0006817284952816649,2.4223591926861403e-05,0.7139658164076313,1.72948165863869e-05,1.600822197531754e-16,1.0,1.600822197531754e-16,1.0,1.0,1.0,0.029829875023843495,0.129324773905984,-12.13461588835756,-0.9225361870050355,7.327732612614618,-0.5542076061284701,0.1425571418406381,-80.28284107918212,53.36241023917492,9.259535336233021,-3.798114974933716,383.15,8.0,0.1
105,0.00010769110481559183,0.23024556818804578,2.479539961706433e-05,6.616541804011713e-08,0.7156370375884816,4.735042375703295e-08,0.9953105853726921,1.000398668309612,0.9957073841613016,0.002850761447836033,1.021161755993161,0.0029110885659898496,0.026723054785603502,0.7021056973205797,0.018762409014782207,0.09999897836758126,0.7189232286645909,0.07189158839118209,0.1290643847184984,0.7132261130468257,0.09205208944555474,0.0020986833604619234,0.6619346857759703,0.0013891913107506205,0.0006566849041846713,1.0,0.0006566849041846713,2.835216063861706e-05,0.7108383560640964,2.015380325921973e-05,1.8552050008027864e-16,1.0,1.8552050008027864e-16,1.0,1.0,1.0,0.029681507338255125,0.1291721419887321,-12.1370202119488,-0.9347601998569879,7.32467612997607,-0.5143739124458159,0.2138653809897429,-79.31887009396004,52.92660684281189,9.246907081488494,-3.8049378965038105,388.15,8.0,0.1
106,0.00010272430563574658,0.2262535437284163,2.324173817712859e-05,6.666091682964933e-08,0.7117100866143604,4.744324689062243e-08,0.9953132802959377,1.0004036223733146,0.9957150110043222,0.0030296508271367866,1.0211347978014134,0.003093681884777207,0.02639413218181881,0.69989124698228,0.018473022085748293,0.09999866459005921,0.7155842281821448,0.07155746721992268,0.12890907285051864,0.710115656566356,0.09154035090460627,0.0022778186197221387,0.6584474444942454,0.0014998238491774512,0.000632447887923899,1.0,0.000632447887923899,3.307550856391308e-05,0.707736996434818,2.340876108657796e-05,2.1428526935468386e-16,1.0,2.1428526935468386e-16,1.0,1.0,1.0,0.029526507314591346,0.12901186381707125,-12.142772532884667,-0.9472501585994835,7.323825596658389,-0.4768208339402134,0.28301492072423773,-78.3859818864376,52.50577950815942,9.236190114104696,-3.8117267132755863,393.15,8.0,0.1
107,9.713124144129557e-05,0.2242068928417191,2.1777493841411688e-05,6.683346290930127e-08,0.7078139226580734,4.73056555466554e-08,0.9953160686539854,1.0004085714812148,0.9957227264144323,0.0032136702981978415,1.021106818689037,0.003281500654508248,0.02605482790015031,0.6976927365796072,0.018178264178766574,0.09999834276336104,0.7122624882671001,0.07122506843921791,0.1287478751318164,0.7070104304687154,0.09102609061887795,0.002462047663681875,0.6549916344713577,0.0016126206233813786,0.0006089923271738368,1.0,0.0006089923271738368,3.8461155203475956e-05,0.7046592608279317,2.7102009196269755e-05,2.4669978617287567e-16,1.0,2.4669978617287567e-16,1.0,1.0,1.0,0.02936562943978945,0.1288450732067206,-12.15173224203387,-0.9600049196176961,7.325086934825042,-0.4414708824070996,0.350086229595994,-77.48297520881995,52.09943204670554,9.227317064390494,-3.818481203901107,398.15,8.0,0.1
108,9.378528758087822e-05,0.2172080403524117,2.037091852932995e-05,6.67886333516859e-08,0.7033277570664128,4.697429969277229e-08,0.9953188573181923,1.0004147749201344,0.9957316906177448,0.003401638645928144,1.0210787085945472,0.0034733407956896137,0.025708574024607925,0.6948819431501809,0.017864423873839824,0.09999801517519051,0.7083193615072931,0.07083053026088755,0.12858591808026784,0.703296061166278,0.09043396970730204,0.002647227390821683,0.6509773897280747,0.0017232851768937615,0.0005853378212535772,1.0,0.0005853378212535772,4.4597703119340854e-05,0.7009719432370035,3.126173861947131e-05,2.8271327683298513e-16,1.0,2.8271327683298513e-16,1.0,1.0,1.0,0.029203997958116946,0.12867977015648208,-12.16356362274235,-0.9730071739475133,7.328139685774146,-0.40836235706746277,0.4151562113538638,-76.60882405527347,51.70720474197054,9.220281303071818,-3.825956900278887,403.15,8.0,0.1
109,8.957616518530605e-05,0.21271286665583902,1.9054002880603434e-05,6.642927343801288e-08,0.6988787147221587,4.642600524028533e-08,0.9953217148884819,1.000420965580674,0.9957407110721472,0.0035934022690644334,1.021049786752324,0.003669042620543556,0.02535471203682457,0.6920924328200985,0.01754780433701895,0.09999768224238982,0.7044033522951519,0.07043870259328479,0.12841927971164774,0.6995938354312582,0.08984133643679122,0.002836236606877285,0.6470015627103708,0.0018350495168659624,0.0005625280981389115,1.0,0.0005625280981389115,5.156292445888292e-05,0.6973152648440657,3.595561432518047e-05,3.2303121772779904e-16,1.0,3.2303121772779904e-16,1.0,1.0,1.0,0.02903769047107431,0.12850892230610647,-12.17847116701525,-0.9862820295345097,7.333238683913815,-0.37738772881024085,0.4782969205945545,-75.76241209305505,51.32860843511235,9.21500435350081,-3.833395832936777,408.15,8.0,0.1
110,8.550364898501712e-05,0.20839424754601416,1.781846859267115e-05,6.578032332645964e-08,0.694465837221921,4.5682187311638524e-08,0.9953246191386607,1.0004271596977568,0.9957497817021418,0.003788916729540342,1.021020255296951,0.00386856072649417,0.024993450539267586,0.6893175244747137,0.017228423453809132,0.09999734419083776,0.7005086751173605,0.07004900709437843,0.12824912418957454,0.6959052936442695,0.08924924442876625,0.0030279501839131683,0.6430575041446778,0.0019471460879416204,0.0005405244199027291,1.0,0.0005405244199027291,5.943775790927665e-05,0.6936825615766686,4.123093616088093e-05,3.6798441499334454e-16,1.0,3.6798441499334454e-16,1.0,1.0,1.0,0.028867870917792943,0.1283346936188829,-12.196274735594216,-0.9998238746080687,7.340253109783389,-0.34843569258129536,0.5395773406517728,-74.94267107432815,50.96316853367363,9.211408245071693,-3.8407986094124564,413.15,8.0,0.1
111,8.16320345211473e-05,0.20409323061299067,1.666054564693214e-05,6.485839695429939e-08,0.6900883131313452,4.4758021746595704e-08,0.995327556842076,1.0004333582955336,0.9957588902956066,0.003987711357192447,1.0209902264954829,0.004071414321778525,0.0246258414692876,0.686556350782966,0.01690702785411393,0.09999700203642437,0.6966353841677216,0.06966144992926492,0.12807609808640752,0.6922307441277089,0.08865821268332733,0.0032217399546394143,0.6391441173739606,0.002059156139716433,0.0005193097206328937,1.0,0.0005193097206328937,6.831541541082591e-05,0.6900729896711251,4.7142622953173465e-05,4.179597967392836e-16,1.0,4.179597967392836e-16,1.0,1.0,1.0,0.028695184861001196,0.12815779497932567,-12.216887014744556,-1.0136340842536982,7.34912911703921,-0.32145214710552156,0.5990630806968305,-74.14863845943577,50.610483905132945,9.209445289842922,-3.8481646644203606,418.15,8.0,0.1
112,7.876459515378901e-05,0.19773145287106916,1.557423783456026e-05,6.368964294170662e-08,0.6857450866423364,4.367485971728006e-08,0.9953305070823757,1.0004395753039725,0.9957680297925797,0.004189631593979482,1.0209598878622792,0.0042774458023735525,0.02425231582550369,0.6838034232056198,0.01658381658214325,0.09999665622194452,0.69277871288678,0.06927555479042052,0.12790128155615155,0.6885713208432672,0.08806915437866587,0.0034165568904018775,0.6352558897666208,0.0021703878873505235,0.0004988534586760364,1.0,0.0004988534586760364,7.828711763689493e-05,0.6864810794829052,5.374262502498078e-05,4.733088440018413e-16,1.0,4.733088440018413e-16,1.0,1.0,1.0,0.028520712014636962,0.12798010984094832,-12.24016965525591,-1.0277094020168402,7.359768481287424,-0.29635070778213757,0.6568165824010971,-73.37936483196029,50.27013643147552,9.209053171581594,-3.855494357682355,423.15,8.0,0.1
