,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O,gH2O,aH2O,mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
20,0.00014577509772484054,0.16299564908300812,2.3760706673799318e-05,2.5309823370927077e-07,0.6680233350281206,1.690755261721937e-07,0.9890553329820445,1.00091475955186,0.9899600807952078,0.024977323083374043,1.0488776566773823,0.02619815610576326,0.08919928406020697,0.6439042702442617,0.05743579990909818,0.1999181465194056,0.678035100161626,0.1355515204994118,0.29246985619306654,0.6647156714678566,0.19440929684348168,0.003056030371939166,0.5782449729886541,0.0017671341998744701,0.004472677449242537,1.0,0.004472677449242537,5.098144298853443e-06,0.6634473033833871,3.3823500873337076e-06,9.995907325970246e-17,1.0,9.995907325970246e-17,1.0,1.0,1.0,0.11432238224130585,0.292615884389025,-11.310627302123692,-0.837449610990858,6.7719192523525695,0.3974748371565267,-0.009383692763390695,-81.27065818136063,53.23752604224102,8.769053375269875,-3.1974172949919137,373.15,7.0,0.2
21,0.00014704802941027184,0.1595446236479656,2.3460722510436807e-05,2.472436969081854e-07,0.6627971481585382,1.6387241721091923e-07,0.9890611439536735,1.0009259823413639,0.9899769971075039,0.025464469045933486,1.0488191683175652,0.026707623246404345,0.08838429675487745,0.6420055219909993,0.056743206573922504,0.1999163956242592,0.6738787796302851,0.1347194167113611,0.2921417275556948,0.6612750314724998,0.19318603008382257,0.003540870081594975,0.5739833080926641,0.0020324003229602256,0.004313338971498888,1.0,0.004313338971498888,6.316279839519137e-06,0.6598852146646522,4.168019677783099e-06,9.995819781212982e-17,1.0,9.995819781212982e-17,1.0,1.0,1.0,0.11399581383022121,0.292289022828802,-11.33237469221039,-0.8503027376824414,6.785494140152416,0.42153153935684107,0.06650527975447662,-80.26122889923889,52.79077572070105,8.762679278900576,-3.2053684427334095,378.15,7.0,0.2
22,0.0001493704948472684,0.15437563847279598,2.3059165511044524e-05,2.410670910990004e-07,0.6576373869824306,1.585347318778021e-07,0.9890677160516891,1.0009373478622507,0.9899948165609515,0.025993373912856832,1.0487529864875909,0.027260628519997235,0.08748345547721162,0.6401186577337938,0.05599979209398682,0.1999144951128436,0.6697234160111871,0.13388741857712538,0.29177042006073495,0.6578308566137532,0.19193558536310787,0.004066199393679297,0.5697715435864048,0.0023168047050667554,0.0041564652336981535,1.0,0.0041564652336981535,7.77015439712169e-06,0.6563473761708006,5.099920450992834e-06,9.995724755642181e-17,1.0,9.995724755642181e-17,1.0,1.0,1.0,0.11362619988491572,0.2919200316226733,-11.355827160246161,-0.8633286446877124,6.799875577544245,0.44452811902264044,0.14006161781009857,-79.284105354031,52.358683465962734,8.757671949626927,-3.2133485351103226,383.15,7.0,0.2
23,0.00014803576103834202,0.15248475870770756,2.257319730204345e-05,2.3455912786546853e-07,0.6525440310759079,1.5306015882298225e-07,0.9890750394285526,1.0009487768480723,0.9900134509269685,0.0265584019848526,1.0486792001225975,0.02785124375000962,0.08650757634346938,0.6382557095628499,0.05521395452166346,0.19991246542038282,0.665586476643892,0.1330590334963465,0.29135642560202885,0.65437970649354,0.19065773227046254,0.004631051396592468,0.5656205690060063,0.0026194179260366933,0.004002561918838447,1.0,0.004002561918838447,9.495478635369592e-06,0.6528467291961467,6.199092169252929e-06,1.1819082300160833e-16,1.0,1.1819082300160833e-16,1.0,1.0,1.0,0.11321401408936033,0.291504695922195,-11.381039312605976,-0.876536612500508,6.815137840360355,0.46641526326854743,0.21137474835121264,-78.33808091824568,51.94083640182046,8.754021860992784,-3.2213508387857295,388.15,7.0,0.2
24,0.0001474678704239044,0.1492316117846437,2.2006867989808242e-05,2.278086245278557e-07,0.6475149559502077,1.4750949147623195e-07,0.9890830434055419,1.0009603407907783,0.9900329001975915,0.02716017703971537,1.0485985202954986,0.028480121454809312,0.08545559321653154,0.6364036327782363,0.05438424996421988,0.19991030442817145,0.6614581747481103,0.13223230508039738,0.29090372397470915,0.6509253693117911,0.1893566139624129,0.005231590374111999,0.561518489995201,0.002937634727144799,0.0038514817686650196,1.0,0.0038514817686650196,1.1528023670871284e-05,0.6493705407826427,7.4859589653087944e-06,1.417520128179093e-16,1.0,1.417520128179093e-16,1.0,1.0,1.0,0.11276323812667081,0.2910514196537576,-11.407867712049443,-0.889920689056475,6.831180034173058,0.4872453488050201,0.2805294933543935,-77.42191570369238,51.53674247067449,8.751671595362234,-3.229376198789745,393.15,7.0,0.2
25,0.00014798265501229373,0.14442362912397677,2.1372192084276922e-05,2.2084408683998985e-07,0.642548686567724,1.4190307793528392e-07,0.9890916714807966,1.000972043099927,0.9900531112152546,0.027795717537114576,1.0485115099569888,0.029144129765177954,0.08433331207552373,0.6345607023152179,0.053514605739212795,0.19990802302429145,0.6573406162647524,0.13140766305105606,0.2904154651519717,0.6474683471224099,0.18803482120073295,0.005864477555830943,0.5574635043448262,0.003269232209425099,0.0037034299191206674,1.0,0.0037034299191206674,1.3908030387837618e-05,0.6459176919437029,8.983442887594952e-06,1.6892054978145885e-16,1.0,1.6892054978145885e-16,1.0,1.0,1.0,0.1122770122676506,0.29056366865107086,-11.436293879062733,-0.9034842249170888,6.848008184416998,0.5070077143265579,0.3476063028696592,-76.5344966120863,51.14599359651921,8.75059783929733,-3.2374209968486336,398.15,7.0,0.2
26,0.00014676195677776785,0.14073904724869793,2.0655137969257653e-05,2.1404311515768916e-07,0.6368733522025325,1.363183562663501e-07,0.989100592087563,1.0009874182477276,0.9900772480610285,0.0284505240235265,1.0484214983594888,0.02982814102585828,0.08317667741928168,0.631973636829377,0.05256546732804736,0.1999056736551547,0.65246163655611,0.13043078298989386,0.2899103227562089,0.643232904843961,0.1864798590507266,0.006517970256536426,0.5527930873598876,0.00360308890143069,0.0035515541344772255,1.0,0.0035515541344772255,1.6691554795696942e-05,0.6417251490750195,1.0711390489562477e-05,1.9974654037375455e-16,1.0,1.9974654037375455e-16,1.0,1.0,1.0,0.11177396339958595,0.2900572987561018,-11.466163274141628,-0.9172196133815244,6.865445659290679,0.5255164333651453,0.4126829625033787,-75.67494526484089,50.768379453836964,8.750868659005029,-3.2464969548400586,403.15,7.0,0.2
27,0.0001467816934583938,0.1355651337832377,1.989847991061736e-05,2.0703549201970877e-07,0.6312703906466818,1.306953759250096e-07,0.9891100046412561,1.0010029181728088,0.9901020010398178,0.029130907759575563,1.0483264695486625,0.03053870168634359,0.0819651046490607,0.6293994609807948,0.051588792685353255,0.19990323372723434,0.6476091633645255,0.12945916594795742,0.28937697923390016,0.639005727345089,0.18491354709228308,0.007195365054691219,0.5481774364874706,0.00394433677027216,0.003403841485788711,1.0,0.003403841485788711,1.9919451488987235e-05,0.6375644683196569,1.2699934497795335e-05,2.348398468552926e-16,1.0,2.348398468552926e-16,1.0,1.0,1.0,0.11124279410209467,0.28952396796285046,-11.49766464462302,-0.9311464357956196,6.883739777727623,0.5429100841690987,0.47583059512123965,-74.8421142800757,50.40337797118639,8.752389121537826,-3.2555818505030727,408.15,7.0,0.2
28,0.00014339996648783827,0.13332741932050327,1.9119147462470133e-05,1.9980552335623733e-07,0.6257389271148074,1.250260938165446e-07,0.9891198808811407,1.001018463418377,0.9901272632962076,0.02983040144581373,1.048226693838619,0.031269023083424094,0.08071119266156673,0.6268500912797987,0.050593818487204525,0.19990072674723006,0.6427986017410384,0.12849590764013688,0.28881694523060547,0.634783501133255,0.18333623168009527,0.007894777433481385,0.5436264079416119,0.004291809497661982,0.0032607011186260504,1.0,0.0032607011186260504,2.3648260874919375e-05,0.6334480636571002,1.4979945060075646e-05,2.746377321743905e-16,1.0,2.746377321743905e-16,1.0,1.0,1.0,0.1106849940738683,0.2889605450026167,-11.530900138514218,-0.9452779233122369,6.902999337248908,0.559129201951818,0.5371181398177276,-74.03510617979502,50.05068523747243,8.75516659697109,-3.264667544366112,413.15,7.0,0.2
29,0.0001426416178930253,0.12843854451966033,1.8320681790109718e-05,1.9242767247269964e-07,0.6202751220943998,1.1935809803734493e-07,0.9891301119750656,1.0010341572272068,0.9901530280290124,0.030549157414670305,1.0481232637530573,0.032019282574370145,0.07941488850817394,0.624307791615639,0.049579333665940264,0.19989815235644628,0.638013775692388,0.12753777493886853,0.28823634465252107,0.6305710761285815,0.1817535020269089,0.00861028221357177,0.5391233219216399,0.004642003949663625,0.0031219337678674475,1.0,0.0031219337678674475,2.7930766215492724e-05,0.6293583714195872,1.7578461537883714e-05,3.1949601501788115e-16,1.0,3.1949601501788115e-16,1.0,1.0,1.0,0.11010668754073727,0.28837917869808655,-11.565763497466264,-0.9596104209935016,6.92314811026741,0.5742141497648828,0.5966112080908258,-73.25297216256537,49.70991386305053,8.759160268801715,-3.273754522363815,418.15,7.0,0.2
